Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A07.30.007;Аппликационная лучевая терапия с изготовлением и применением индивидуальных аппликаторов. 3D - 4D планирование;st19.078;;;;;;;;;TRUE
A07.30.009;Конформная дистанционная лучевая терапия;st19.076;st19.079;st19.081;st19.085;st19.087;st19.088;st19.089;;;TRUE
A07.30.009.001;"Конформная дистанционная лучевая терапия, в том числе IMRT, IGRT, ViMAT, стереотаксическая";st19.085;st19.087;st19.088;st19.089;;;;;;TRUE
A07.30.010;Радиойодабляция;st19.078;;;;;;;;;TRUE
A07.30.011;Радиойодтерапия;st36.024;;;;;;;;;TRUE
A07.30.012;Системная радионуклидная терапия самарием (153Sm) оксабифором;st19.082;;;;;;;;;TRUE
A07.30.013;Системная радионуклидная терапия стронция хлоридом (89Sr);st19.078;;;;;;;;;TRUE
A07.30.025.001;Дистанционная лучевая терапия при поражении мягких тканей на медицинских ускорителях электронов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.30.025.002;Дистанционная гамма-терапия при поражении мягких тканей;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A11.03.001;Биопсия кости;st19.123;st29.009;;;;;;;;TRUE
A11.03.001.001;Трепанбиопсия длинных костей под контролем компьютерной томографии;st29.009;;;;;;;;;TRUE
A11.03.001.002;Трепанбиопсия костей позвоночника под контролем компьютерной томографии;st29.009;;;;;;;;;TRUE
A11.03.001.003;Трепанбиопсия костей таза под контролем компьютерной томографии;st29.009;;;;;;;;;TRUE
A11.06.002.002;Биопсия лимфатического узла с использованием видеоэндоскопических технологий;st19.124;st31.006;;;;;;;;TRUE
A11.08.004;Пункция околоносовых пазух;st20.005;;;;;;;;;TRUE
A11.09.004;Открытая биопсия легкого;st28.002;;;;;;;;;TRUE
A11.10.001;Чрезвенозная катетеризация сердца;st13.002;st13.005;st13.007;st24.004;st27.009;;;;;TRUE
A11.10.003;Биопсия миокарда;st13.002;st13.005;st13.007;st24.004;st27.009;;;;;TRUE
A11.11.004;Биопсия средостения;st28.002;;;;;;;;;TRUE
